Performance.KDTMean;Performance.MAMean;Performance.MVMean;Performance.TBCMean;Performance.DDCMean;Performance.DMSMean;Performance.AEDMean;Performance.ADMSLMean;FatigueLevel;Performance.Task
-0,00059272;-0,212793685;-0,11437264;-0,017847939;-0,009678647;-0,026167799;-0,064480633;-0,196165303;0;0
0,002433104;-0,011533388;-0,053024384;0,022393599;0,139934638;-0,009264142;-0,034469235;-0,034367036;0;-1
-0,001942024;-0,048550132;-0,020758445;-0,011534741;1;-0,034370373;-0,011478226;-0,177312454;0;-1
0,000840114;0,108845927;0,003973531;0,010318565;-0,007040407;-0,009070091;0,033118396;-0,149511907;0;0
-0,022955409;0,056636547;0,07701995;0,075229556;-0,021173542;-0,013770456;0,224067198;-0,047243667;0;-1
0,00312339;-0,162779184;-0,230751947;0,037840763;0,073544927;0,015734206;-0,006431791;0,203567541;0;-1
0,031290169;-0,024975261;-0,036276913;-0,002398621;0,270057132;0,028632064;-0,001038057;0,162040845;0;0
0,001827091;-0,105597881;-0,003463911;0,073034363;0,070868107;-0,003086807;0,231782111;-0,099525679;0;0
-0,000205899;0,030628131;0,031298191;-0,104903055;-0,005017731;0,020073438;-0,01929643;0,049802605;1;-1
0,001876387;0,022339331;0,025462485;-0,031647072;-0,058987788;-0,014303511;-0,035570138;-0,026084055;0;-1
-0,001659046;0,00066941;-0,000556909;0,019699552;0,0236481;0,006893557;-0,038041293;0,009571935;1;0
0,394031803;-0,020945561;-0,018077588;-0,010641868;-0,064026263;-0,001709437;-0,010944875;-0,038551667;0;-1
-0,001386673;-0,016849038;-0,004303031;0,009268964;-0,009678647;0,021549211;0,008658446;0,109773794;0;0
0,009817261;0,067767936;0,064380739;-0,07997436;-0,012172298;-0,009277465;0,022765795;-0,024721404;0;-1
0,104774907;-0,005596692;-0,023043506;0,003010119;-0,064026263;0,012447776;0,001992886;0,089758394;0;-1
0,021637962;0,029307489;-0,05531966;-0,04525215;0,020379458;-0,013356993;0,008509757;-0,043510716;0;0
0,000471891;-0,096786596;-0,034599681;0,012314099;0,45447054;0,176282958;0,00699378;0,064771336;0;-1
0,252450547;-0,01509913;-0,004994025;-0,002416174;-0,002722519;-0,018716757;-0,002647451;-0,095497769;0;0
0,000219371;0,003156304;0,021572312;0,12646403;-0,011182343;0,024904938;0,017767301;0,066166303;0;-1
0,000919933;-0,014642304;-5,4858E-05;0,0020773;0,095635895;-0,008400898;0,003475093;-0,104249974;0;0
-0,00334864;-0,1735878;-0,123517532;-0,017598942;0,425162981;-0,033155951;-0,000306465;-0,048002805;0;1
0,059925266;-0,030516237;-0,024508236;-0,005574086;-0,009678647;-0,025014042;0,011979652;-0,178019719;0;0
-0,001998163;-0,001460807;-0,000699397;-0,034833814;0,03797203;-0,00115113;0,02410508;0,007394864;0;0
-0,000633216;0,052825497;0;-0,006825551;-0,006492319;0,044013453;-0,016456709;0,40503282;0;0
0,002832476;0,01823634;8,49277E-06;0,004079192;0,04757737;-0,000275439;0,142600918;-0,080991327;0;0
0,000983228;0,089851276;0,011416383;0,131692536;-0,037338652;-0,002383413;-0,010040423;-0,00678396;0;-1
0,000855531;0,002353676;0,001113689;0,063397101;0,029739041;0,113220058;-0,022383347;0,267764908;0;1
0,053009003;0,029714734;0,031956796;-0,004268845;0,00462117;-0,006734541;0,008798699;-0,065023315;1;0
-0,093332913;0,433990667;0,339742116;-0,039763585;-0,006088872;-0,020606096;0,004113473;-0,077510853;0;1
0,001022769;0,003195199;0,00181342;0,543783312;-0,033874944;0,018019945;0,371418286;0,083969224;1;1
0,002049874;0,000358083;0,000384138;-0,034858259;0,003563444;0,011050563;-0,044361388;0,065893734;0;1
0,002781388;-0,091641979;-0,002370666;0,078747092;-0,043768209;0,007601216;0,052267432;0,081054636;0;0
-0,000765938;-0,212793685;-0,11437264;-0,017847939;-0,009678647;-0,026167799;-0,064480633;-0,196165303;0;0
0,005857363;-0,022307055;-0,005475083;0,067372934;0,029559933;-0,002243495;0,026443175;-0,025071246;0;-1
0,003088968;-0,094295749;-0,081879628;0,015958473;0,15410054;0,012351735;-0,029529684;0,009308311;1;-1
0,023526386;-0,137139978;-0,194743018;0,154396358;0,092304724;0,001323741;0,111288182;-0,059308558;0;-1
-0,093332913;-0,09640731;-0,08005559;0,013297301;0,226674605;-0,028676288;4,52357E-05;-0,058239889;0;1
0,006540375;-0,185095551;-0,137885296;0,069365887;0,062734021;-0,051977925;-1,30087E-05;-0,088347969;0;1
-0,000897044;-0,162536728;-0,032577316;-0,007650172;-0,008395308;-0,005742534;-0,003964017;-0,03735144;0;0
0,007564058;0,077287098;0,080671542;-0,078175055;0,047051655;0,018521599;0,060834655;0,08417121;1;-1
0,259127177;0,526311172;0,659444007;0,151437878;0,175630654;-0,051021081;0,017010726;-0,136021487;0;-1
-0,003721874;0,000657882;0,000444917;-0,000278716;-0,00217327;-0,011200915;0,044148168;-0,071494329;0;1
0,002887045;-0,019616682;-0,008809466;-0,073067513;-0,027528887;0,000768671;-0,03449088;0,025617241;0;-1
0,028443542;-0,010568038;-0,019420059;-0,005032523;0,003627671;-0,004092938;0,012258361;-0,070146086;0;0
0,016851776;-0,087121231;-0,076981097;0,010439015;0,009823068;-0,015450909;0,000862124;-0,021809154;0;1
0,00355407;0,124446807;0,11363194;0,047800714;-0,016487751;0,015593045;0,000323231;0,1478849;0;-1
0,018686785;0,003608338;0,00062569;-0,010408043;0,023997317;0,025471647;-0,000257575;0,030788912;1;-1
-1,94176E-06;-0,101086494;-0,058550472;0,137895233;0,361029284;-0,015688069;-0,012963224;-0,144569929;0;0
0,084601491;0,014336077;0,025800006;0,001650384;-0,005616092;0,005069787;-0,002431543;0,015037201;0;0
